area,name,url,members_count,posts_per_day,is_private,locality_name,most_common_region,in_charlotte_staged
Bolsover,DOG SOS DERBYSHIRE (SEARCH & CAPTURE TEAM),https://www.facebook.com/groups/DOGSOSDERBYSHIRE/,20000,2,FALSE,Derbyshire,Derbyshire,False
Bolsover,"Chat Belper, Derby & Ripley",https://www.facebook.com/groups/735530226498018/,20000,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,Derbyshire traffic and travel group,https://www.facebook.com/groups/142544453092014/,20000,4,FALSE,Derbyshire,Derbyshire,False
Bolsover,Hucknall Community Group,https://www.facebook.com/groups/HucknallCommunityGroup/,17000,10,FALSE,Nottinghamshire,Nottinghamshire,False
Bolsover,Jobs In Corby 👨🏼‍🔧,https://www.facebook.com/groups/855393997898203/,17000,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,"Polacy w Derbyshire- ogłoszenia, praca, sprzedaz",https://www.facebook.com/groups/1632690393489061/,16000,10,FALSE,Hockley,Derbyshire,False
Bolsover,Jobs in Derby,https://www.facebook.com/groups/124637381480294/,14000,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,Hucknall gossip page,https://www.facebook.com/groups/221960267190936/,11000,10,FALSE,Nottinghamshire,Nottinghamshire,False
Bolsover,spotted selston,https://www.facebook.com/groups/510062194146220/,10000,10,FALSE,Selston Common,Nottinghamshire,False
Bolsover,Hoghton notice board,https://www.facebook.com/groups/973269659547210/,10000,10,FALSE,Lancashire,Lancashire,False
Bolsover,Rotherham Chit Chat Group,https://www.facebook.com/groups/893172690888654/,9000,7,FALSE,South Yorkshire,South Yorkshire,False
Bolsover,Spotted in Rotherham,https://www.facebook.com/groups/847043215376275/,8300,5,FALSE,South Yorkshire,South Yorkshire,False
Bolsover,"Spring Valley, Illinois, My Home Town",https://www.facebook.com/groups/664130636974395/,7900,10,FALSE,Spring Vale,Derbyshire,False
Bolsover,Derbyshire Bikers,https://www.facebook.com/groups/343798949053818/,6800,6,FALSE,Derbyshire,Derbyshire,False
Bolsover,"What’s occuring in Newhall (Derbyshire, UK)",https://www.facebook.com/groups/137021457161953/,6800,8,FALSE,Derbyshire,Derbyshire,False
Bolsover,Derbyshire crafters,https://www.facebook.com/groups/536407636407766/,6800,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,everything free  rotherham area,https://www.facebook.com/groups/696901167574857/,6500,8,FALSE,South Yorkshire,South Yorkshire,False
Bolsover,Derbyshire weddings,https://www.facebook.com/groups/derbyshireweddings/,6400,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,Spotted Etwall Derbyshire,https://www.facebook.com/groups/618500129214024/,6100,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,Ogłoszenia Derbyshire,https://www.facebook.com/groups/ogloszeniaderbyshire/,5600,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,Chesterfield & Derbyshire Junior football,https://www.facebook.com/groups/613490725675755/,5500,9,FALSE,Derbyshire,Derbyshire,False
Bolsover,Residents of Church Hill,https://www.facebook.com/groups/1528766540751286/,5400,10,FALSE,Church Hill,Cumbria,False
Bolsover,Park Hall Community Association (Stoke on Trent),https://www.facebook.com/groups/1529085337331697/,5100,2,FALSE,Stoke-on-Trent,Stoke-on-Trent,False
Bolsover,Derbyshire Music And Arts Events,https://www.facebook.com/groups/DerbyshireMusicAndArtsEvents/,4600,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,Blofield & Blofield Heath Community Page,https://www.facebook.com/groups/330217048026734/,4500,6,FALSE,Norfolk,Norfolk,False
Bolsover,Derbyshire Photography,https://www.facebook.com/groups/derbyshirephotography/,4200,8,FALSE,Derbyshire,Derbyshire,False
Bolsover,Woodhouse Reborn,https://www.facebook.com/groups/woodhouserebirthofacommunity/,4200,8,FALSE,Nottinghamshire,Nottinghamshire,False
Bolsover,South Normanton & Pinxton small businesses & Services,https://www.facebook.com/groups/386225711436540/,3800,10,FALSE,Derbyshire,Derbyshire,False
Bolsover,Whaley bridge,https://www.facebook.com/groups/983917409599727/,3800,7,FALSE,Derbyshire,Derbyshire,False
Bolsover,what's up whaley bridge,https://www.facebook.com/groups/3486696851658646/,3800,9,FALSE,Derbyshire,Derbyshire,False
